Rua,Bairro,Path_Coordinates
Condomínio Armon,Botafogo,"[[-43.18756734051594, -22.95466393875599], [-43.186699590480885, -22.95475954069942], [-43.18668512086351, -22.955127228489467], [-43.18738843446158, -22.956044082771367], [-43.18645819706871, -22.95507082252545]]"
Catete 228,Catete,"[[-43.17609249023288, -22.924665280373105], [-43.176061298175725, -22.92475580066184], [-43.17572756966063, -22.924778107501325], [-43.176667622480885, -22.92549880499181], [-43.176258260955414, -22.92588294510863]]"
Praça Cardeal Arcoverde,Copacabana,"[[-43.18513659570526, -22.964680527723356], [-43.18524909526665, -22.964335323486907], [-43.18589479568775, -22.963599038978153], [-43.18521856510846, -22.963213787073702], [-43.18485206905188, -22.962324558634755]]"
Rua General Cristóvão Barcelos,Laranjeiras,"[[-43.18737634152017, -22.933886570093126], [-43.18651444412916, -22.934825795973733], [-43.1861614173576, -22.93444674247167], [-43.18584364641714, -22.935015392166875], [-43.185541180463055, -22.935227663355565]]"
Rua Dezenove de Fevereiro,Botafogo,"[[-43.18801072776684, -22.948903517645373], [-43.18819691184539, -22.94794916927693], [-43.18763214087727, -22.947207662376258], [-43.187155242458765, -22.947073629854284], [-43.187346961815464, -22.94631659873168]]"
Rua Francisco Sá,Copacabana,"[[-43.18112628919134, -22.965652924348355], [-43.181255122561716, -22.965057297050638], [-43.18201470445097, -22.96442162861829], [-43.18300318712998, -22.964332650422367], [-43.18327026406023, -22.964683478762566]]"
Rua Francisco Otaviano,Ipanema,"[[-43.20430783826426, -22.984068651392377], [-43.204561334681, -22.984593563130627], [-43.205414942833464, -22.9851390238761], [-43.20507851723635, -22.984932126689337], [-43.20515152914875, -22.98469314599732]]"
Rua Ipiranga,Laranjeiras,"[[-43.187924908734225, -22.935985509289182], [-43.188242413078974, -22.936934225157568], [-43.18844476751718, -22.937173833919996], [-43.18837756242373, -22.937013489181542], [-43.187847795900645, -22.936797678995955]]"
Tricolor,Botafogo,"[[-43.18819060450394, -22.94916685782427], [-43.18917547875398, -22.949775301852902], [-43.18837941765608, -22.949480352424594], [-43.18752534856649, -22.94999338783144], [-43.18665647651288, -22.95087285305086]]"
Rua Aníbal de Mendonça,Ipanema,"[[-43.20545934059368, -22.983484769444882], [-43.20584476066382, -22.983915023640957], [-43.20576643811047, -22.983308971845293], [-43.20554577054385, -22.98368635644698], [-43.20600052254238, -22.983254055098534]]"
Rua Visconde do Cruzeiro,Flamengo,"[[-43.17531329287621, -22.93861310390279], [-43.175262966108875, -22.9392502272074], [-43.17604921226268, -22.938832134683953], [-43.17653608669528, -22.938697510244694], [-43.17656899540184, -22.93777165649422]]"
Rua Fernando Osório,Flamengo,"[[-43.17560109174644, -22.939439524802868], [-43.175397868106145, -22.938536718118456], [-43.17462945517945, -22.937898340399602], [-43.175205365499636, -22.938442180855706], [-43.17538330856002, -22.938220218878005]]"
Rua General Severiano,Urca,"[[-43.16457877664615, -22.95587947172418], [-43.16502916457505, -22.955318420693693], [-43.165181688067754, -22.954673192056667], [-43.16599061744009, -22.954338092258084], [-43.16608708208261, -22.954090373608732]]"
Rua Corrêa Dutra,Flamengo,"[[-43.17422321753474, -22.935278757530334], [-43.175031788423695, -22.935845277930152], [-43.17474784542281, -22.93679800075806], [-43.17465445059738, -22.936583812685882], [-43.17487263860557, -22.93711991849365]]"
Rua Dias da Rocha,Copacabana,"[[-43.184881361484656, -22.96457328687871], [-43.185072723948444, -22.964182997770614], [-43.18463752841713, -22.96432659854076], [-43.183655016429725, -22.96394172623811], [-43.18444679713096, -22.964684937659204]]"
Rua das Palmeiras,Botafogo,"[[-43.18782348378606, -22.95325503600064], [-43.18703510203673, -22.954083719501448], [-43.1873883589125, -22.95469998485201], [-43.18767836630084, -22.955246672047554], [-43.18764024671902, -22.95610782436206]]"
Rua Francisco Otaviano,Copacabana,"[[-43.18245992851237, -22.96909772750854], [-43.182158173774276, -22.968337569333418], [-43.18250950626805, -22.968271653760315], [-43.18217053235765, -22.968605649934197], [-43.18184685397795, -22.967617371211755]]"
Rua Barão de Ipanema,Copacabana,"[[-43.18533914594439, -22.9677087663263], [-43.18442389537538, -22.967584172694544], [-43.18404388559374, -22.96823356680983], [-43.18397223022479, -22.96883169943251], [-43.184071488352274, -22.969638346533216]]"
Vila Glória,Catete,"[[-43.176527300235264, -22.924510529653077], [-43.177058016071555, -22.923656174014116], [-43.177753184044896, -22.923857542182496], [-43.17689918210905, -22.92287257517818], [-43.17621511552029, -22.92279266091762]]"
Rua Paula Freitas,Copacabana,"[[-43.181168377477015, -22.969965253407306], [-43.18051624221651, -22.970709826440036], [-43.180098752821024, -22.970145770264693], [-43.18049249610913, -22.971073449503645], [-43.18077222329419, -22.971547224363825]]"
Rua Rainha Guilhermina,Leblon,"[[-43.22286685413605, -22.985477186555727], [-43.22297244905504, -22.98568322352158], [-43.22294109019965, -22.985482034854858], [-43.22294716323383, -22.98464325090843], [-43.22224431331834, -22.983658934878783]]"
Rua Marquês de Paraná,Flamengo,"[[-43.174495301749054, -22.939001801612687], [-43.17373935310816, -22.939240555025734], [-43.17312750230793, -22.93850444164552], [-43.17351814402973, -22.937924380772905], [-43.1737121836722, -22.938762542206803]]"
Rua Gomes Carneiro,Ipanema,"[[-43.20114633879484, -22.984323401640772], [-43.20050137766757, -22.984041457486082], [-43.19977734870302, -22.984776408140597], [-43.199803224865384, -22.98393089375957], [-43.19927360526358, -22.983718387884068]]"
Rua Clarice Índio do Brasil,Flamengo,"[[-43.178521756047026, -22.937308021833363], [-43.17938541142826, -22.93757295298878], [-43.180115078849944, -22.938521329174883], [-43.18001601977815, -22.937595098951704], [-43.18015102402149, -22.936663454629397]]"
Rua Joana Angélica,Ipanema,"[[-43.20636601189443, -22.983762929868202], [-43.20693393552941, -22.983481277238823], [-43.206633533344615, -22.98324210132903], [-43.20751083409039, -22.983938051622772], [-43.20759123324285, -22.983376528450634]]"
Rua Alice,Laranjeiras,"[[-43.18662978862685, -22.93875331663402], [-43.18715142841842, -22.937785958783493], [-43.18790865853957, -22.93850146004612], [-43.188706566917546, -22.938894909750985], [-43.18958198332128, -22.938510587067597]]"
Rua Clarice Índio do Brasil,Botafogo,"[[-43.18460868337061, -22.950016178382963], [-43.18436089169803, -22.95040367114139], [-43.18450872493025, -22.950349588213566], [-43.183735516499766, -22.951088167460085], [-43.18434627147612, -22.951188598162442]]"
Rua Sebastião de Lacerda,Laranjeiras,"[[-43.18639831371664, -22.9341347726266], [-43.18737625118778, -22.933596162839315], [-43.18741356288451, -22.933763854842955], [-43.18789393646702, -22.934725470289308], [-43.18861971705556, -22.934204890643063]]"
Rua Lopes Quintas,Jardim Botânico,"[[-43.2215527912544, -22.967927275352135], [-43.220949717030635, -22.966975527842315], [-43.22097400894278, -22.966056374553673], [-43.220878089964835, -22.96683690215632], [-43.22018937579936, -22.9669281474872]]"
Rua Mário Portela,Laranjeiras,"[[-43.18885194443866, -22.938199708011837], [-43.18889990817992, -22.93772499385706], [-43.18911095562278, -22.937973217286768], [-43.188540922535104, -22.938054323749956], [-43.1876302531621, -22.937270154372076]]"
Via Martins da Mota,Catete,"[[-43.17867438125567, -22.92437119176348], [-43.17799263809682, -22.924861850519388], [-43.177189114112544, -22.925784997821463], [-43.17691471115893, -22.925862042892213], [-43.17612447567752, -22.925543335047802]]"
Rua Gago Coutinho,Laranjeiras,"[[-43.18768955186833, -22.938700087756636], [-43.18721468433089, -22.939399749755], [-43.186854228772475, -22.939375305913376], [-43.187684644740386, -22.940291960112173], [-43.18854047606839, -22.939859313336047]]"
Avenida Epitácio Pessoa,Ipanema,"[[-43.202574949843246, -22.980660991610204], [-43.202981878680674, -22.9809544887932], [-43.20243257161831, -22.981255082333707], [-43.203062180482576, -22.980932341111565], [-43.20386538918315, -22.981584122440896]]"
Praça José de Alencar,Flamengo,"[[-43.17927433023382, -22.93810972143005], [-43.178338610164126, -22.938945378095095], [-43.17780016386845, -22.93935448854014], [-43.17803628458914, -22.93910516140243], [-43.17879351175282, -22.93969378687804]]"
Praça David Ben Gurion,Laranjeiras,"[[-43.187618187200506, -22.935236574478754], [-43.186681209645315, -22.93615267203189], [-43.187095565571916, -22.935555243648583], [-43.186891802392644, -22.934595302989866], [-43.18639565603379, -22.93443045767345]]"
BRS 2 Farme de Amoedo,Ipanema,"[[-43.204970394964036, -22.985631425521802], [-43.20552116374035, -22.98477525824115], [-43.20565700997446, -22.985030924193474], [-43.20543113080947, -22.985152114214085], [-43.20594974538581, -22.984265962538597]]"
Rua Raimundo Corrêa,Copacabana,"[[-43.181825135124065, -22.965178450598746], [-43.18119324124613, -22.96560663702027], [-43.180500212568745, -22.96488389702754], [-43.1809957305284, -22.964046043960263], [-43.181074651533855, -22.96353596010277]]"
Rua das Laranjeiras,Catete,"[[-43.177363028973915, -22.923841315321003], [-43.17727297513612, -22.924486457782063], [-43.176398199003124, -22.923517118303014], [-43.17706856937166, -22.92443077083142], [-43.176616609551694, -22.92516731328451]]"
Rua Almirante Gonçalves,Copacabana,"[[-43.18065578183193, -22.96746488384229], [-43.18057130742095, -22.966999280752756], [-43.18055458632711, -22.96681858537184], [-43.18042454234139, -22.9672234884692], [-43.17967789650967, -22.9668457178651]]"
Rua Marques,Humaitá,"[[-43.19523065515348, -22.958039570190273], [-43.19573729742444, -22.95902090695062], [-43.19475367752174, -22.958567983520393], [-43.19495068889002, -22.95936962732122], [-43.19554261762076, -22.958769485383822]]"
Rua São Salvador,Flamengo,"[[-43.17827185159231, -22.936004087298436], [-43.177704268023334, -22.936293318161063], [-43.17869380879625, -22.936184865132798], [-43.17962318608637, -22.935662883612743], [-43.18021822496603, -22.93517141604728]]"
Rua Pinheiro Guimarães,Botafogo,"[[-43.18740667169801, -22.95293841030197], [-43.18665337017435, -22.95332720187099], [-43.18691675111334, -22.952334533195735], [-43.18647260923693, -22.952437311933824], [-43.18628652056856, -22.951664920372895]]"
Rubro-Negra,Gávea,"[[-43.23298069041837, -22.97442629112102], [-43.23326970439749, -22.9741871124461], [-43.23408372311785, -22.973598717783545], [-43.234121777338075, -22.97342231324965], [-43.23499207014911, -22.97313766219784]]"
Avenida Rodrigo Otávio,Gávea,"[[-43.22937907400042, -22.975236039433504], [-43.22876909600106, -22.97488310355905], [-43.2281189971807, -22.975343462118794], [-43.228964880622435, -22.97534695075427], [-43.229296403985046, -22.97622984889578]]"
Avenida Prefeito Mendes de Morais,São Conrado,"[[-43.18209638566135, -22.969368310211966], [-43.18280148060794, -22.969487912216056], [-43.1829334418756, -22.969831526708838], [-43.183492217970176, -22.970654325849477], [-43.1830208917417, -22.97045787526135]]"
Rua dos Oitis,Gávea,"[[-43.23047251168023, -22.974744608802787], [-43.229901208444076, -22.97447225407337], [-43.23008139866468, -22.97523558169152], [-43.23031373276081, -22.97455597712025], [-43.230138194039085, -22.974412232577794]]"
Galeria 216,Catete,"[[-43.18114281974881, -22.926492932267546], [-43.18047942566145, -22.927444548739764], [-43.180443268128975, -22.92789840711982], [-43.17956190963874, -22.92830095597264], [-43.179702596013264, -22.92878236245491]]"
Rua Muniz Barreto,Botafogo,"[[-43.183484140141225, -22.95378339149292], [-43.18351820239705, -22.953867017719443], [-43.18435699936954, -22.95460005777461], [-43.18436407706483, -22.95414417916066], [-43.18390506060752, -22.95427047775543]]"
Rua Guilhermina Guinle,Botafogo,"[[-43.187487875506335, -22.951238649103132], [-43.1871739651938, -22.950735898931075], [-43.188036049161084, -22.94982266968891], [-43.1884716750117, -22.950708560246607], [-43.18897771741356, -22.951185148879134]]"
Rua Visconde de Carandaí,Jardim Botânico,"[[-43.21844361042549, -22.96636830164323], [-43.217890189311575, -22.966468821958326], [-43.217915046924226, -22.967338089643196], [-43.218789740517316, -22.96827086244283], [-43.21951124977508, -22.96745798753614]]"
Avenida Portugal,Urca,"[[-43.160600999925876, -22.955915940042445], [-43.16027342055352, -22.956872293248892], [-43.1601530841866, -22.955945504380466], [-43.16104856842802, -22.9550718594564], [-43.1615282528461, -22.955234272818252]]"
Avenida João Luís Alves,Urca,"[[-43.16207495239115, -22.956460819625335], [-43.16194429188201, -22.957064624359816], [-43.16100028122275, -22.95713675938644], [-43.161301268478574, -22.95691970484105], [-43.16199877482111, -22.95769151327127]]"
Avenida Padre Leonel Franca,Gávea,"[[-43.2296326632703, -22.973496303652954], [-43.230403125526564, -22.973449521830204], [-43.22995749692015, -22.972729242443506], [-43.22954182672569, -22.973593905719706], [-43.2303783760342, -22.97350682928502]]"
Rua Aristides Espínola,Leblon,"[[-43.219025811117994, -22.987805352759022], [-43.21868776644334, -22.98710540201606], [-43.21886423536017, -22.987180810894056], [-43.21877337162136, -22.986878863959756], [-43.21874836632382, -22.987754317747992]]"
Rua Von Martius,Jardim Botânico,"[[-43.218282330803696, -22.967688260534675], [-43.21876508913392, -22.968285532970402], [-43.219104659004174, -22.968956120263538], [-43.21906588728517, -22.968442617252162], [-43.21831022712887, -22.969032854703862]]"
Rua Ribeiro de Almeida,Laranjeiras,"[[-43.188092563934916, -22.93766722273171], [-43.1875485389823, -22.93669724341943], [-43.18841812979978, -22.93764290857698], [-43.18759968938806, -22.937715045823353], [-43.18760406437199, -22.937637642227447]]"
Rua Pompeu Loureiro,Copacabana,"[[-43.183417479954954, -22.9655673810364], [-43.182488526647155, -22.96501615733455], [-43.18244186738477, -22.965608624416294], [-43.1818561585467, -22.966034348500123], [-43.1815869937116, -22.96587916176836]]"
Rua Desembargador Burle,Humaitá,"[[-43.19480182679652, -22.953509459589558], [-43.194410028560185, -22.954193549943888], [-43.19477650520605, -22.953607027243013], [-43.19396421869652, -22.952892668729014], [-43.19299717575109, -22.953338859754258]]"
Avenida Rainha Elizabeth,Copacabana,"[[-43.18033606173995, -22.969394650964574], [-43.18103185317351, -22.969086065859923], [-43.18080125712337, -22.969205419023186], [-43.18003642438656, -22.97003849085321], [-43.180026010839406, -22.969431283782328]]"
Rua Carlos Gois,Leblon,"[[-43.22069248000717, -22.982895338085783], [-43.22136057021658, -22.982625995539276], [-43.22150559084074, -22.981862140022667], [-43.22248037580079, -22.9825376732111], [-43.222425576556546, -22.982418161843825]]"
Ciclovia Stuart Angel Jones,Urca,"[[-43.16161102105796, -22.95752356049214], [-43.16089466695164, -22.958148736603945], [-43.160813079441674, -22.95751060957622], [-43.16118437921531, -22.957090123978976], [-43.16054110541989, -22.95714778818111]]"
Rua Ministro Tavares de Lira,Flamengo,"[[-43.17443050448538, -22.936734725316498], [-43.175082981299106, -22.937064309221757], [-43.17443102487369, -22.936640281181095], [-43.17495127664818, -22.937439006224047], [-43.17525539382502, -22.938155062244526]]"
Estrada da Gávea,São Conrado,"[[-43.18147442859513, -22.97019311449071], [-43.180791533488964, -22.97048836459749], [-43.17983332361293, -22.970545790262694], [-43.1805807941298, -22.970277505986104], [-43.18093058609894, -22.969925150861954]]"
Duvivier,Copacabana,"[[-43.18056557644656, -22.969450711376947], [-43.17989149419608, -22.9699963522629], [-43.17960573037596, -22.970437800085993], [-43.17958042086967, -22.970049498938973], [-43.18015513211693, -22.97043887758558]]"
Rua Ministro Tavares de Lira,Catete,"[[-43.17567017108931, -22.924581023256813], [-43.175138041536236, -22.923838614292286], [-43.17480807172928, -22.92326171960578], [-43.173993681667866, -22.92374114589065], [-43.1738728004059, -22.923399681266837]]"
Largo dos Leões,Humaitá,"[[-43.19281261834286, -22.956237850372787], [-43.19305181724492, -22.95614455393241], [-43.193830376058266, -22.95519095327539], [-43.19474632670792, -22.955345856418766], [-43.19391017360352, -22.954866048177234]]"
Rua Joaquim Nabuco,Copacabana,"[[-43.18023537903014, -22.96874669061723], [-43.17962556547646, -22.968238766810035], [-43.17869994476231, -22.969202753698834], [-43.179090442571535, -22.968749411714693], [-43.179527400174706, -22.968090622384974]]"
Rua José Linhares,Leblon,"[[-43.22145580914013, -22.984577884135238], [-43.221972021483616, -22.98538481519485], [-43.22203448555269, -22.986360007122293], [-43.221837770584095, -22.986757476600772], [-43.22223793236108, -22.987163000985355]]"
Rua Barão de Icaraí,Flamengo,"[[-43.17428641675365, -22.934282630028846], [-43.17409997361344, -22.933947020662394], [-43.17472931325438, -22.933162415666114], [-43.17525029291456, -22.934004477341734], [-43.17618095238111, -22.933415320784334]]"
Rua Conselheiro Lafaiete,Copacabana,"[[-43.18257132586574, -22.965365823436976], [-43.18190857883697, -22.966238541618402], [-43.18267871284285, -22.966040584602048], [-43.18185945920398, -22.9668528700324], [-43.18120088560534, -22.966514469506524]]"
João Saldanha,Copacabana,"[[-43.18311743553807, -22.96739532188947], [-43.183248243616355, -22.96776142871389], [-43.183044396754326, -22.96721366940243], [-43.18315763672557, -22.96642862282252], [-43.18289502161938, -22.96621444366508]]"
Rua Visconde da Graça,Jardim Botânico,"[[-43.219925817334726, -22.96657539918975], [-43.22015679467944, -22.967366949584132], [-43.21985234616035, -22.96739161544689], [-43.21965104402725, -22.966490553341718], [-43.219638511908265, -22.966003365509366]]"
Praça Serzedelo Correia,Copacabana,"[[-43.183528881440765, -22.96897365051495], [-43.18443758394976, -22.969028663804938], [-43.18488395533418, -22.96974861560983], [-43.185221261319974, -22.96880555022803], [-43.185829065894495, -22.968841468111805]]"
Praça José de Alencar,Catete,"[[-43.17820056422932, -22.92725804452937], [-43.179185236164024, -22.92824703293105], [-43.180111793439025, -22.928808895312848], [-43.18043407214035, -22.929592843804585], [-43.180289974853615, -22.928987672445427]]"
Rua Professor Ortiz Monteiro,Laranjeiras,"[[-43.18841790975258, -22.9335094776834], [-43.188183776720344, -22.93433529214981], [-43.18849333043474, -22.935107615362856], [-43.18774488538537, -22.93509279148542], [-43.18734036785331, -22.93510569832474]]"
Praça Ozanan,Botafogo,"[[-43.185932543546414, -22.95325161084688], [-43.18611050139588, -22.9534079544898], [-43.185682436106944, -22.95259273248469], [-43.18606369067122, -22.95237692205651], [-43.18515356964825, -22.951729341288065]]"
Rua Marechal Cantuária,Urca,"[[-43.16569318771134, -22.954181591778898], [-43.166574138310644, -22.95466637733823], [-43.16620095848366, -22.954458786432333], [-43.16643328071757, -22.9552298111562], [-43.16669517467405, -22.95531733813829]]"
Rua General Artigas,Leblon,"[[-43.2242739540128, -22.98429293171315], [-43.22456441142913, -22.985132571684986], [-43.224227266135685, -22.984249120261747], [-43.22450342615401, -22.9838917803484], [-43.22548316378595, -22.983704458765985]]"
Travessa Carlos de Sá,Catete,"[[-43.176057808439204, -22.92482455918993], [-43.1768166916064, -22.924376613078998], [-43.17768380391769, -22.923571706464426], [-43.1783995296701, -22.92350377151933], [-43.17855546114985, -22.924480358297867]]"
BRS 1 Paula Freitas,Copacabana,"[[-43.18543756556614, -22.967036800679594], [-43.18532028077324, -22.967790794089346], [-43.18486193379814, -22.968104459383], [-43.18417072507216, -22.967799876085817], [-43.18431086291738, -22.96741489043248]]"
Rua Cândido Gaffrée,Urca,"[[-43.161266089040474, -22.956162119007328], [-43.16066932835944, -22.956269279974524], [-43.159954203684116, -22.955624435227186], [-43.16009223324309, -22.954791164755505], [-43.159927835749905, -22.955153431118863]]"
Rua Tavares Bastos,Catete,"[[-43.177169569889045, -22.924266484824138], [-43.177835849485646, -22.924517379050098], [-43.178550661197484, -22.924656320373174], [-43.178858906276005, -22.923876126302805], [-43.1798080107562, -22.92456720680836]]"
João Saldanha,Ipanema,"[[-43.20656972866691, -22.984356375000512], [-43.206947293676784, -22.98453711721072], [-43.20673573517788, -22.98418287593125], [-43.20729995006937, -22.984453688474854], [-43.20739194682698, -22.983477616542544]]"
Rua Redentor,Ipanema,"[[-43.20683477968078, -22.983486461802045], [-43.205906744866546, -22.983475551566222], [-43.206828752841396, -22.98370713814025], [-43.2070527793215, -22.98464522655841], [-43.20800607512884, -22.985325176685482]]"
Rua Cardoso Júnior,Laranjeiras,"[[-43.1853995009019, -22.937364531368164], [-43.18448766324399, -22.938132253447762], [-43.18371085589938, -22.938504320013006], [-43.1830574411799, -22.938298434260048], [-43.18348063030426, -22.937330407933626]]"
Rua Conde de Baependi,Laranjeiras,"[[-43.188757677374475, -22.93678692857158], [-43.18944938728812, -22.936704113356882], [-43.1893659776633, -22.936596690386168], [-43.188698677739424, -22.936072886760957], [-43.18909401124072, -22.93619200406033]]"
Galeria Enseada,Flamengo,"[[-43.177345312126995, -22.939354114506806], [-43.176412477355264, -22.939813619122543], [-43.1767179232772, -22.939698201470044], [-43.17743952987451, -22.939537266268058], [-43.17718706123167, -22.939649178769653]]"
Rua Gago Coutinho,Catete,"[[-43.176018111427105, -22.9225369096666], [-43.17587935670474, -22.92229009775028], [-43.17647673248909, -22.922048776790632], [-43.17739781342331, -22.922258501304103], [-43.1773117642554, -22.92230740922913]]"
Rua Leopoldo Miguez,Copacabana,"[[-43.18136714058726, -22.965043272334377], [-43.18062720226797, -22.964976499076847], [-43.18004618267942, -22.9657151943892], [-43.17945776135432, -22.966465552761267], [-43.178703580192284, -22.966914017624763]]"
Rua Tucuman,Flamengo,"[[-43.17351407573103, -22.936923946369607], [-43.172786980686, -22.93695713149766], [-43.17303632087016, -22.936779668453397], [-43.17362987468799, -22.937208101342346], [-43.17385679367435, -22.93668450495959]]"
Rua Pinheiro Machado,Laranjeiras,"[[-43.185606537126255, -22.9356363258246], [-43.185791368709104, -22.934674847137433], [-43.18526231311979, -22.934019809293222], [-43.18435021883257, -22.93387275139031], [-43.18513169041195, -22.934471802359255]]"
Botafogo,Botafogo,"[[-43.18294145876882, -22.949818186874754], [-43.18217452924285, -22.950693271687516], [-43.18215366426484, -22.95079663357678], [-43.18130089905138, -22.950543448554594], [-43.181347212114744, -22.951505216365735]]"
Estacione,Botafogo,"[[-43.18749338922355, -22.950744805410775], [-43.187775958172715, -22.95114601423403], [-43.18821843842789, -22.95053713981867], [-43.18730354238981, -22.951115729890937], [-43.18630790067845, -22.95209800332071]]"
Acesso Rua da Passagem,Botafogo,"[[-43.188214108333995, -22.953132283621922], [-43.18754581913999, -22.952656544584798], [-43.18826011856539, -22.95217559232089], [-43.18772227300117, -22.95166873647638], [-43.18719004113558, -22.951351655445038]]"
Viaduto Pedro Álvares Cabral,Botafogo,"[[-43.18537423314199, -22.954368371716182], [-43.18555914707993, -22.95521307304684], [-43.186427127391646, -22.955398860068588], [-43.18720513119406, -22.955701219000648], [-43.18630975514213, -22.95508474858063]]"
Rua Nascimento Silva,Ipanema,"[[-43.20520260593228, -22.98326454040398], [-43.205201357396135, -22.984110816253427], [-43.2047871844416, -22.983521785164445], [-43.205641380770864, -22.984421333141515], [-43.206050799782766, -22.98461558657625]]"
Rua Bulhões de Carvalho,Ipanema,"[[-43.20142463167821, -22.98157910354022], [-43.200612409673944, -22.981768898151167], [-43.200659535701256, -22.98212590674867], [-43.2003785836169, -22.982673848753038], [-43.20017159742481, -22.98171588652269]]"
Travessa Angrense,Copacabana,"[[-43.18036804551841, -22.96976247592921], [-43.18046934603433, -22.969756308027648], [-43.18021977830875, -22.969584578450743], [-43.1798545438663, -22.97044102683829], [-43.179426638601285, -22.97095716347766]]"
Rua Paulino Fernandes,Botafogo,"[[-43.185178980646135, -22.95158499419555], [-43.18462828834533, -22.952299242272872], [-43.18463489749969, -22.95275642351198], [-43.185367240773694, -22.953187875326122], [-43.18625857670405, -22.952928759932337]]"
Rua 5 de Julho,Copacabana,"[[-43.18263322516457, -22.970499191841974], [-43.18308088604893, -22.971405488024917], [-43.18395550680568, -22.970991535050004], [-43.184947866960364, -22.97031285806529], [-43.18446605884806, -22.970819210326887]]"
Rua Viúva Lacerda,Humaitá,"[[-43.196377640281696, -22.9568385964872], [-43.19675094444653, -22.95615317268288], [-43.19596720015691, -22.955575307739327], [-43.1951473138692, -22.955707672900175], [-43.19421915703622, -22.95595303679225]]"
Orla São Conrado,São Conrado,"[[-43.182874107167265, -22.97113711575726], [-43.182466392984, -22.97087169199976], [-43.1831324868065, -22.97186296546046], [-43.18279971597934, -22.971436873359192], [-43.182277640398844, -22.970504778348936]]"
Rua Batista da Costa,Jardim Botânico,"[[-43.222367810466494, -22.966211686748164], [-43.22207951202354, -22.965648039021474], [-43.22235941109174, -22.966551666996686], [-43.22235860880032, -22.965638067365717], [-43.222443209590004, -22.965772609093676]]"
Rua Barão do Flamengo,Flamengo,"[[-43.179085869878875, -22.937481120464074], [-43.179252861015065, -22.93694598520704], [-43.178552165012825, -22.936301625433405], [-43.178237458048486, -22.936877637324006], [-43.17747714457264, -22.93693307371568]]"
Praça São Salvador,Laranjeiras,"[[-43.189028191134575, -22.935453487266482], [-43.18872491161362, -22.93618028545918], [-43.18909365692609, -22.935703090542916], [-43.18930339511087, -22.935413425334872], [-43.18990496456108, -22.934987011568307]]"
Avenida Rainha Elizabeth,Ipanema,"[[-43.206651448287516, -22.984193284073463], [-43.20661972448209, -22.98497025964882], [-43.2059487640306, -22.985435074295363], [-43.206190575933256, -22.986405687518054], [-43.20715192067142, -22.986730996424516]]"
Avenida Venceslau Braz,Botafogo,"[[-43.18587426151647, -22.951942812493314], [-43.18568399816665, -22.95188093713649], [-43.18575580784775, -22.952861089494235], [-43.18571774328749, -22.95193409101246], [-43.186094015571655, -22.951579006477544]]"
Galeria Condor,Catete,"[[-43.17544391706033, -22.925372223714074], [-43.17641002173055, -22.92612112328455], [-43.17579571065582, -22.925580806861035], [-43.176264544989905, -22.926340392402793], [-43.176677927768345, -22.92730528767606]]"
Rua Marques,Botafogo,"[[-43.18606956423056, -22.952811426440988], [-43.186469963175426, -22.953808719189556], [-43.18552157428779, -22.95351580170628], [-43.1864743843585, -22.952821680052313], [-43.1859079875319, -22.952024558842965]]"
Rua Bartolomeu Portela,Botafogo,"[[-43.186482505627, -22.95251196824227], [-43.18702603490001, -22.95338057852436], [-43.187057880760584, -22.953887371254403], [-43.18711026110379, -22.95339248244121], [-43.18619468150181, -22.954276793542316]]"
Ladeira dos Tabajaras,Copacabana,"[[-43.182433106003195, -22.964552032590614], [-43.183281895921965, -22.963626495890107], [-43.18383113338595, -22.963895134393585], [-43.184549527488166, -22.964503468225317], [-43.18398688377667, -22.964258640942184]]"
Rua Júlio de Castilhos,Ipanema,"[[-43.20318427175702, -22.9815332573804], [-43.20283601116594, -22.981756925968146], [-43.203145626748956, -22.98223711600966], [-43.20356461773761, -22.981402144323397], [-43.20278433546282, -22.981462167787083]]"
Rua Júlio de Castilhos,Copacabana,"[[-43.18565295045536, -22.969616181734327], [-43.18575760360454, -22.96935433815387], [-43.18484173536243, -22.970085788452067], [-43.185357948774204, -22.970026469004175], [-43.184998708108736, -22.970025261861867]]"
Rua Maria Angélica,Jardim Botânico,"[[-43.22024201077758, -22.963158207054697], [-43.22037637877316, -22.96306505277063], [-43.22104487921352, -22.963977252885346], [-43.221626508282704, -22.964086169607864], [-43.2209392089546, -22.964986211550546]]"
Largo Almirante Índio do Brasil,Botafogo,"[[-43.18684813721809, -22.949777290469772], [-43.18745428580919, -22.948856036518745], [-43.18646464722126, -22.94795317689802], [-43.18550235975767, -22.94752973128653], [-43.185983276191315, -22.947390651727396]]"
Rua Gomes Carneiro,Copacabana,"[[-43.18196594041229, -22.97006151062784], [-43.18258572511272, -22.969099154954314], [-43.18176992752517, -22.968513964721737], [-43.180849656316354, -22.967626561536097], [-43.17989504050037, -22.967583642258653]]"
Rua Bulhões de Carvalho,Copacabana,"[[-43.181390012947766, -22.967638599361194], [-43.181108782580665, -22.968143918729556], [-43.18178338309305, -22.967810717771464], [-43.18124012927109, -22.967680547146557], [-43.18221592303754, -22.967682755817485]]"
Rua Leite Leal,Laranjeiras,"[[-43.18942793932238, -22.93354283558941], [-43.18998378758099, -22.933274108211666], [-43.18928770340179, -22.933630768232348], [-43.19009690484716, -22.933173045347807], [-43.19103856531987, -22.933315641305835]]"
